Order ID,Order Date,Ship Date,Shipping Days,Ship Mode,Customer Name,Segment,Country,Governorate,city,sales_person,Product ID,Category,Sub-Category,Quantity,Unit Price,Discount,Sales,Cost,Revenue,Profit,Returned
EG-2023-1000,2023-01-01,2023-01-06,5,Standard Class,Mayan El-Sayed,Home Office,Egypt,Qena,Qena City,Ahmed Ragab,HOM-MI-670,Home Appliances,Microwaves,8,3153.49,0.0,25227.92,17071.06,25227.92,8156.86,No
EG-2023-1001,2023-01-01,2023-01-05,4,Standard Class,Mena Shalaby,Home Office,Egypt,Matrouh,Alamein,Noha Mahmoud,TEC-CO-544,Technology,Copiers,5,5011.45,0.0,25057.25,19709.71,25057.25,5347.54,No
EG-2023-1002,2023-01-01,2023-01-05,4,Standard Class,Mai Ezz Eldin,Consumer,Egypt,Suez,Arbaeen,Sara Amin,TEC-PH-848,Technology,Phones,10,1390.06,0.0,13900.6,10670.17,13900.6,3230.43,No
EG-2023-1001,2023-01-02,2023-01-02,0,Same Day,Mona Abdelrahman,Home Office,Egypt,Kafr El-Sheikh,Kafr El-Sheikh City,Mina Youssef,HOM-AI-137,Home Appliances,Air Conditioners,4,16168.3,0.0,64673.2,47207.85,64673.2,17465.35,No
EG-2023-1002,2023-01-02,2023-01-07,5,Standard Class,Asser Yassin,Corporate,Egypt,Minya,Samalut,Ahmed Ragab,HOM-RE-112,Home Appliances,Refrigerators,5,10935.75,0.15,46476.94,35448.29,46476.94,11028.65,No
EG-2023-1002,2023-01-04,2023-01-05,1,First Class,Huda El-Mufti,Corporate,Egypt,Monufia,Shibin El Kom,Sara Amin,OFF-ST-273,Office Supplies,Storage,10,305.28,0.1,2747.52,1899.13,2747.52,848.39,No
EG-2023-1003,2023-01-05,2023-01-11,6,Standard Class,Mustafa Kamal,Home Office,Egypt,Damietta,New Damietta,Mina Youssef,OFF-AR-738,Office Supplies,Art,6,58.97,0.15,300.75,223.81,300.75,76.94,No
EG-2023-1004,2023-01-05,2023-01-07,2,Second Class,Amir Karara,Corporate,Egypt,Sohag,Akhmim,Karim Salah,CLO-SH-435,Clothing & Apparel,Shirts,2,392.4,0.0,784.8,553.53,784.8,231.27,No
EG-2023-1004,2023-01-06,2023-01-12,6,Standard Class,Mena Shalaby,Consumer,Egypt,Alexandria,Stanly,Noha Mahmoud,FUR-FU-944,Furniture,Furnishings,8,164.27,0.0,1314.16,934.06,1314.16,380.1,No
EG-2023-1005,2023-01-06,2023-01-09,3,Second Class,Amina Khalil,Consumer,Egypt,Dakahlia,Talkha,Mina Youssef,HOM-BL-368,Home Appliances,Blenders,1,823.77,0.0,823.77,635.18,823.77,188.59,No
EG-2023-1006,2023-01-06,2023-01-09,3,Second Class,Ahmed Helmy,Corporate,Egypt,Dakahlia,Mit Ghamr,Youssef Khaled,TEC-AC-808,Technology,Accessories,1,345.26,0.0,345.26,231.26,345.26,114.0,No
